ID,DisplayName,StandardName,DaylightName,BaseUtcOffset
Tokyo Standard Time,(UTC+09:00) Osaka* Sapporo* Tokyo,Tokyo Standard Time,Tokyo Daylight Time,09:00:00
North Korea Standard Time,(UTC+09:00) Pyongyang,North Korea Standard Time,North Korea Daylight Time,09:00:00
Korea Standard Time,(UTC+09:00) Seoul,Korea Standard Time,Korea Daylight Time,09:00:00
Yakutsk Standard Time,(UTC+09:00) Yakutsk,Russia TZ 8 Standard Time,Russia TZ 8 Daylight Time,09:00:00
Cen. Australia Standard Time,(UTC+09:30) Adelaide,Cen. Australia Standard Time,Cen. Australia Daylight Time,09:30:00
AUS Central Standard Time,(UTC+09:30) Darwin,AUS Central Standard Time,AUS Central Daylight Time,09:30:00
E. Australia Standard Time,(UTC+10:00) Brisbane,E. Australia Standard Time,E. Australia Daylight Time,10:00:00
AUS Eastern Standard Time,(UTC+10:00) Canberra* Melbourne* Sydney,AUS Eastern Standard Time,AUS Eastern Daylight Time,10:00:00
West Pacific Standard Time,(UTC+10:00) Guam* Port Moresby,West Pacific Standard Time,West Pacific Daylight Time,10:00:00
Tasmania Standard Time,(UTC+10:00) Hobart,Tasmania Standard Time,Tasmania Daylight Time,10:00:00
Vladivostok Standard Time,(UTC+10:00) Vladivostok,Russia TZ 9 Standard Time,Russia TZ 9 Daylight Time,10:00:00
Lord Howe Standard Time,(UTC+10:30) Lord Howe Island,Lord Howe Standard Time,Lord Howe Daylight Time,10:30:00
Bougainville Standard Time,(UTC+11:00) Bougainville Island,Bougainville Standard Time,Bougainville Daylight Time,11:00:00
Russia Time Zone 10,(UTC+11:00) Chokurdakh,Russia TZ 10 Standard Time,Russia TZ 10 Daylight Time,11:00:00
Magadan Standard Time,(UTC+11:00) Magadan,Magadan Standard Time,Magadan Daylight Time,11:00:00
Norfolk Standard Time,(UTC+11:00) Norfolk Island,Norfolk Standard Time,Norfolk Daylight Time,11:00:00
Sakhalin Standard Time,(UTC+11:00) Sakhalin,Sakhalin Standard Time,Sakhalin Daylight Time,11:00:00
Central Pacific Standard Time,(UTC+11:00) Solomon Is.* New Caledonia,Central Pacific Standard Time,Central Pacific Daylight Time,11:00:00
Russia Time Zone 11,(UTC+12:00) Anadyr* Petropavlovsk-Kamchatsky,Russia TZ 11 Standard Time,Russia TZ 11 Daylight Time,12:00:00
New Zealand Standard Time,(UTC+12:00) Auckland* Wellington,New Zealand Standard Time,New Zealand Daylight Time,12:00:00
UTC+12,(UTC+12:00) Coordinated Universal Time+12,UTC+12,UTC+12,12:00:00
Fiji Standard Time,(UTC+12:00) Fiji,Fiji Standard Time,Fiji Daylight Time,12:00:00
Kamchatka Standard Time,(UTC+12:00) Petropavlovsk-Kamchatsky - Old,Kamchatka Standard Time,Kamchatka Daylight Time,12:00:00
Chatham Islands Standard Time,(UTC+12:45) Chatham Islands,Chatham Islands Standard Time,Chatham Islands Daylight Time,12:45:00
UTC+13,(UTC+13:00) Coordinated Universal Time+13,UTC+13,UTC+13,13:00:00
Tonga Standard Time,(UTC+13:00) Nuku'alofa,Tonga Standard Time,Tonga Daylight Time,13:00:00
Samoa Standard Time,(UTC+13:00) Samoa,Samoa Standard Time,Samoa Daylight Time,13:00:00
Line Islands Standard Time,(UTC+14:00) Kiritimati Island,Line Islands Standard Time,Line Islands Daylight Time,14:00:00
